2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAstoryCategoryMapper' and 'com.ws.ldy.modules.yw.astory.mapper.XjAstoryCategoryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAstoryMapper' and 'com.ws.ldy.modules.yw.astory.mapper.XjAstoryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'cpCategoryMapper' and 'com.ws.ldy.modules.yw.caipu.mapper.CpCategoryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'cpInfoMapper' and 'com.ws.ldy.modules.yw.caipu.mapper.CpInfoMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjFileMapper' and 'com.ws.ldy.modules.yw.file.mapper.XjFileMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'file2Mapper' and 'com.ws.ldy.modules.yw.test.mapper.File2Mapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminAuthorityMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminAuthorityMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminDictionaryMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminDictionaryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminMenuMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminMenuMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminRoleAuthMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminRoleAuthMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminRoleMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminRoleMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:17:42.564 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminRoleMenuMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminRoleMenuMapper' mapperInterface. Bean already defined with the same name!
